block_seed,architecture,condition,family,lambda,rho,mu,graph_index,graph_id,log_loss,accuracy,brier
17,pna,lambda_low,degree,12.0,0.6,0.35,2,target:17:lambda_low:2:46004625,0.3761986792087555,0.8876953125,0.09091675281524658
17,mean,lambda_low,degree,12.0,0.6,0.35,3,target:17:lambda_low:3:1300491172,0.458950936794281,0.8916015625,0.0908512994647026
17,mean_degree,lambda_low,degree,12.0,0.6,0.35,3,target:17:lambda_low:3:1300491172,0.25277334451675415,0.891357421875,0.07762758433818817
17,sum,lambda_low,degree,12.0,0.6,0.35,3,target:17:lambda_low:3:1300491172,0.274004727602005,0.885986328125,0.08418911695480347
17,pna,lambda_low,degree,12.0,0.6,0.35,3,target:17:lambda_low:3:1300491172,0.3859238624572754,0.88427734375,0.09350401163101196
17,mean,lambda_low,degree,12.0,0.6,0.35,4,target:17:lambda_low:4:893903361,0.40006524324417114,0.90234375,0.08005580306053162
17,mean_degree,lambda_low,degree,12.0,0.6,0.35,4,target:17:lambda_low:4:893903361,0.2829670310020447,0.885009765625,0.08415569365024567
17,sum,lambda_low,degree,12.0,0.6,0.35,4,target:17:lambda_low:4:893903361,0.26156798005104065,0.887451171875,0.08013761788606644
17,pna,lambda_low,degree,12.0,0.6,0.35,4,target:17:lambda_low:4:893903361,0.3503864109516144,0.898193359375,0.08348489552736282
17,mean,lambda_low,degree,12.0,0.6,0.35,5,target:17:lambda_low:5:586393993,0.3707054853439331,0.909912109375,0.07454168051481247
17,mean_degree,lambda_low,degree,12.0,0.6,0.35,5,target:17:lambda_low:5:586393993,0.22827348113059998,0.909423828125,0.06802502274513245
17,sum,lambda_low,degree,12.0,0.6,0.35,5,target:17:lambda_low:5:586393993,0.24187037348747253,0.900390625,0.0726877823472023
17,pna,lambda_low,degree,12.0,0.6,0.35,5,target:17:lambda_low:5:586393993,0.3291204571723938,0.900634765625,0.08086259663105011
17,mean,lambda_low,degree,12.0,0.6,0.35,6,target:17:lambda_low:6:2025916203,0.38106873631477356,0.90966796875,0.07656155526638031
17,mean_degree,lambda_low,degree,12.0,0.6,0.35,6,target:17:lambda_low:6:2025916203,0.2567159831523895,0.8974609375,0.07566756010055542
17,sum,lambda_low,degree,12.0,0.6,0.35,6,target:17:lambda_low:6:2025916203,0.24903009831905365,0.8984375,0.07464607059955597
17,pna,lambda_low,degree,12.0,0.6,0.35,6,target:17:lambda_low:6:2025916203,0.34451425075531006,0.900146484375,0.0814293920993805
